animal	dano	R2	arcsinR2	Sire	Dam
345	0.22802	0.77198	1.072973	551	631
346	0.25357	0.74643	1.043085	551	631
347	0.17668	0.82332	1.136984	551	631
348	0.25073	0.74927	1.046355	551	631
349	0.13824	0.86176	1.189842	551	632
350	0.15311	0.84689	1.16876	551	632
351	0.12415	0.87585	1.210716	551	632
352	0.1259	0.8741	1.208071	551	632
353	0.14	0.86	1.187299	551	632
354	0.16057	0.83943	1.158503	551	632
355	0.17686	0.82314	1.136748	551	632
356	0.201256	0.7987435	1.10558	551	632
357	0.18683	0.81317	1.123823	551	632
358	0.24261	0.75739	1.055774	551	632
359	0.13959	0.86041	1.18789	551	632
360	0.10991	0.89009	1.232875	551	632
361	NA	NA	NA	551	632
362	0.1819	0.8181	1.13018	551	632
363	NA	NA	NA	551	632
364	0.201256	0.79874357	1.10558	551	632
365	0.20103	0.79897	1.105862	552	633
366	0.10739	0.89261	1.236924	552	633
367	0.3	0.7	0.991157	552	633
368	0.23652	0.76348	1.062908	552	633
369	0.2163	0.7837	1.087071	552	633
370	0.17398	0.82602	1.140534	552	633
371	0.15149	0.84851	1.171015	552	633
372	0.14547	0.85453	1.17948	552	633
373	0.17643	0.82357	1.137312	552	634
374	0.11978	0.88022	1.217393	552	634
375	0.19	0.81	1.11977	552	634
376	0.1073	0.8927	1.237069	552	634
377	0.28	0.72	1.013198	552	634
378	0.32	0.68	0.969532	552	634
379	0.20464	0.79536	1.101374	552	634
380	0.10498	0.89502	1.240835	552	634
381	0.19173	0.80827	1.117568	552	634
382	0.18371	0.81629	1.127838	552	634
383	0.20997	0.79003	1.094799	552	634
384	0.19284	0.80716	1.11616	552	634
385	0.186223	0.8137775	1.124603	552	634
386	0.1461	0.8539	1.178588	552	634
387	0.10216	0.89784	1.245463	553	637
388	0.17498	0.82502	1.139217	553	637
389	0.24739	0.75261	1.050217	553	637
390	0.15406	0.84594	1.167443	553	637
391	NA	NA	NA	553	637
392	0.188821	0.81117917	1.121274	553	637
393	0.3	0.7	0.991157	553	637
394	0.19355	0.80645	1.115261	553	637
395	0.14768	0.85232	1.176356	553	637
396	0.35	0.65	0.937744	553	637
397	0.21148	0.78852	1.092948	553	637
398	0.1574	0.8426	1.162837	553	637
399	0.0813	0.9187	1.281653	553	637
400	0.12202	0.87798	1.213958	553	638
401	0.16114	0.83886	1.157727	553	638
402	0.17937	0.82063	1.133468	553	638
403	0.4	0.6	0.886077	553	638
404	0.2326	0.7674	1.067534	553	638
405	NA	NA	NA	553	638
406	0.3	0.7	0.991157	553	638
407	0.28383	0.71617	1.008941	553	638
408	0.11341	0.88659	1.227318	553	638
409	0.2748	0.7252	1.019005	553	638
410	0.19292	0.80708	1.116059	553	638
411	0.19202	0.80798	1.1172	553	638
412	NA	NA	NA	553	638
413	0.14877	0.85123	1.174822	553	638
414	NA	NA	NA	553	638
415	0.21238	0.78762	1.091847	553	638
416	0.2326	0.7674	1.067534	553	638
417	0.08	0.92	1.28404	553	638
418	0.1943	0.8057	1.114312	553	638
419	0.51494	0.48506	0.770456	554	639
420	0.35222	0.64778	0.935419	554	639
421	0.37511	0.62489	0.911625	554	639
422	0.55481	0.44519	0.730478	554	639
423	0.65688	0.34312	0.625823	554	639
424	0.20832	0.79168	1.096828	554	639
425	0.24716	0.75284	1.050483	554	639
426	0.33	0.67	0.958857	554	640
427	0.20388	0.79612	1.102316	554	640
428	0.27	0.73	1.024396	554	640
429	0.18801	0.81199	1.122311	556	643
430	0.14562	0.85438	1.179268	556	643
431	0.13661	0.86339	1.192209	556	643
432	0.13811	0.86189	1.190031	556	643
433	0.1724	0.8276	1.142622	556	643
434	0.18158	0.81842	1.130595	556	644
