planta	dano	crec	flor.dias	frutos
1963	0.17266257	0.88652591	62	0
1965	0.2114359	0.78142398	54	1
1969	NA	0.75674524	45	5
1971	NA	0.62004589	57	0
1973	0.09459864	0.52017908	70	0
1979	NA	0.78287843	55	0
1981	NA	0.55661729	51	0
1991	0.21689771	0.81483707	57	0
1995	NA	0.72923055	61	0
1997	0.17333852	0.88363071	61	1
1999	0.26148668	0.92133605	42	2
2001	0.30683584	0.93371684	41	8
2003	0.31563026	0.87790804	41	6
2007	0.14139582	0.54663003	62	3
2009	0.33273309	0.91636804	48	0
2011	0.14799647	1.14373968	67	1
2013	0.47485337	0.80948758	51	3
2017	0.10581372	0.91035627	57	1
2019	0.35338368	0.64328632	51	0
2023	0.21391591	0.97992135	44	5
2025	0.24489112	0.96788467	48	1
2027	0.33114367	0.80948758	51	0
2029	0.26825796	0.90314279	62	0
2031	0.31979729	0.84340204	54	5
2033	0.17070552	0.60311342	41	6
2035	0.18117847	0.70874851	51	0
2037	0.17649003	0.68257299	52	3
2039	0.19968778	0.70311738	44	1
2043	0.14396819	1.0475622	62	4
2045	0.19375669	0.89635434	51	4
